Pop;Best
[972.4900519194732, 946.1501636999294, 967.8223517000331, 924.4069594457593, 1040.8049075713348, 951.0829275519487, 968.1231014123048, 935.7887910523332, 913.5805516451383, 977.350389927351, 1006.7097667485081, 918.5154208773571, 950.1109195751363, 1004.769145060447, 928.5856557934454, 948.0114355882239, 940.2313746117749, 981.5384961722721, 909.2816280324951, 902.296496739986, 971.2948389165995, 922.8859861928761, 981.0226495643368, 951.0223291936763, 947.9542074226863, 1003.36197423756, 939.5121508231912, 980.7555851732461, 939.3553786599426, 917.1170134496217, 1034.7606978796969, 953.8278560469031, 964.5740539923879, 977.6900767244994, 1012.0719794405217, 952.7857398913251, 1024.517784475056, 938.9251263446762, 996.5666850275238, 934.5852612074037, 962.8761370177845, 952.660401088636, 931.0331367326241, 979.5488339559673, 897.233478593773, 970.3511773709846, 981.3286002913883, 992.8446186161352, 1005.6431207568685, 905.5056581302833];897.233478593773
[1005.6431207568685, 1004.769145060447, 1003.36197423756, 996.5666850275238, 992.8446186161352, 981.5384961722721, 981.3286002913883, 981.0226495643368, 980.7555851732461, 979.5488339559673, 977.6900767244994, 977.350389927351, 972.4900519194732, 971.2948389165995, 970.3511773709846, 968.1231014123048, 967.8223517000331, 964.5740539923879, 962.8761370177845, 953.8278560469031, 952.7857398913251, 952.660401088636, 951.0829275519487, 951.0223291936763, 950.1109195751363, 948.0114355882239, 947.9542074226863, 946.1501636999294, 940.2313746117749, 939.5121508231912, 939.3553786599426, 938.9251263446762, 935.7887910523332, 934.5852612074037, 931.0331367326241, 928.5856557934454, 924.4069594457593, 922.8859861928761, 918.5154208773571, 917.1170134496217, 913.5805516451383, 909.2816280324951, 905.5056581302833, 902.296496739986, 897.233478593773, 877.0757358139444, 886.9536708700318, 890.7140844490511, 893.7782485325108, 898.8814791239001];877.0757358139444
[981.5384961722721, 981.3286002913883, 981.0226495643368, 980.7555851732461, 979.5488339559673, 977.6900767244994, 977.350389927351, 972.4900519194732, 971.2948389165995, 970.3511773709846, 968.1231014123048, 967.8223517000331, 964.5740539923879, 962.8761370177845, 953.8278560469031, 952.7857398913251, 952.660401088636, 951.0829275519487, 951.0223291936763, 950.1109195751363, 948.0114355882239, 947.9542074226863, 946.1501636999294, 940.2313746117749, 939.5121508231912, 939.3553786599426, 938.9251263446762, 935.7887910523332, 934.5852612074037, 931.0331367326241, 928.5856557934454, 924.4069594457593, 922.8859861928761, 918.5154208773571, 917.1170134496217, 913.5805516451383, 909.2816280324951, 905.5056581302833, 902.296496739986, 898.8814791239001, 897.233478593773, 893.7782485325108, 890.7140844490511, 886.9536708700318, 877.0757358139444, 868.2224740022706, 877.1109062000398, 877.2335322088442, 881.3738277267072, 882.3322450611283];868.2224740022706
[977.6900767244994, 977.350389927351, 972.4900519194732, 971.2948389165995, 970.3511773709846, 968.1231014123048, 967.8223517000331, 964.5740539923879, 962.8761370177845, 953.8278560469031, 952.7857398913251, 952.660401088636, 951.0829275519487, 951.0223291936763, 950.1109195751363, 948.0114355882239, 947.9542074226863, 946.1501636999294, 940.2313746117749, 939.5121508231912, 939.3553786599426, 938.9251263446762, 935.7887910523332, 934.5852612074037, 931.0331367326241, 928.5856557934454, 924.4069594457593, 922.8859861928761, 918.5154208773571, 917.1170134496217, 913.5805516451383, 909.2816280324951, 905.5056581302833, 902.296496739986, 898.8814791239001, 897.233478593773, 893.7782485325108, 890.7140844490511, 886.9536708700318, 882.3322450611283, 881.3738277267072, 877.2335322088442, 877.1109062000398, 877.0757358139444, 868.2224740022706, 849.655022810594, 855.0641564946598, 863.7037133600786, 866.910230076566, 869.3821380247903];849.655022810594
[968.1231014123048, 967.8223517000331, 964.5740539923879, 962.8761370177845, 953.8278560469031, 952.7857398913251, 952.660401088636, 951.0829275519487, 951.0223291936763, 950.1109195751363, 948.0114355882239, 947.9542074226863, 946.1501636999294, 940.2313746117749, 939.5121508231912, 939.3553786599426, 938.9251263446762, 935.7887910523332, 934.5852612074037, 931.0331367326241, 928.5856557934454, 924.4069594457593, 922.8859861928761, 918.5154208773571, 917.1170134496217, 913.5805516451383, 909.2816280324951, 905.5056581302833, 902.296496739986, 898.8814791239001, 897.233478593773, 893.7782485325108, 890.7140844490511, 886.9536708700318, 882.3322450611283, 881.3738277267072, 877.2335322088442, 877.1109062000398, 877.0757358139444, 869.3821380247903, 868.2224740022706, 866.910230076566, 863.7037133600786, 855.0641564946598, 849.655022810594, 820.1610456380185, 843.2632690339535, 843.6030672440932, 844.4575159966838, 845.7316579895102];820.1610456380185
[952.7857398913251, 952.660401088636, 951.0829275519487, 951.0223291936763, 950.1109195751363, 948.0114355882239, 947.9542074226863, 946.1501636999294, 940.2313746117749, 939.5121508231912, 939.3553786599426, 938.9251263446762, 935.7887910523332, 934.5852612074037, 931.0331367326241, 928.5856557934454, 924.4069594457593, 922.8859861928761, 918.5154208773571, 917.1170134496217, 913.5805516451383, 909.2816280324951, 905.5056581302833, 902.296496739986, 898.8814791239001, 897.233478593773, 893.7782485325108, 890.7140844490511, 886.9536708700318, 882.3322450611283, 881.3738277267072, 877.2335322088442, 877.1109062000398, 877.0757358139444, 869.3821380247903, 868.2224740022706, 866.910230076566, 863.7037133600786, 855.0641564946598, 849.655022810594, 845.7316579895102, 844.4575159966838, 843.6030672440932, 843.2632690339535, 820.1610456380185, 816.3548771218548, 821.6739182300258, 836.8223084170195, 840.0997503185177, 846.8443149018324];816.3548771218548
[948.0114355882239, 947.9542074226863, 946.1501636999294, 940.2313746117749, 939.5121508231912, 939.3553786599426, 938.9251263446762, 935.7887910523332, 934.5852612074037, 931.0331367326241, 928.5856557934454, 924.4069594457593, 922.8859861928761, 918.5154208773571, 917.1170134496217, 913.5805516451383, 909.2816280324951, 905.5056581302833, 902.296496739986, 898.8814791239001, 897.233478593773, 893.7782485325108, 890.7140844490511, 886.9536708700318, 882.3322450611283, 881.3738277267072, 877.2335322088442, 877.1109062000398, 877.0757358139444, 869.3821380247903, 868.2224740022706, 866.910230076566, 863.7037133600786, 855.0641564946598, 849.655022810594, 846.8443149018324, 845.7316579895102, 844.4575159966838, 843.6030672440932, 843.2632690339535, 840.0997503185177, 836.8223084170195, 821.6739182300258, 820.1610456380185, 816.3548771218548, 807.1571548881436, 809.1914316455996, 820.8402383293418, 827.3244911142735, 829.0021505742085];807.1571548881436
[939.3553786599426, 938.9251263446762, 935.7887910523332, 934.5852612074037, 931.0331367326241, 928.5856557934454, 924.4069594457593, 922.8859861928761, 918.5154208773571, 917.1170134496217, 913.5805516451383, 909.2816280324951, 905.5056581302833, 902.296496739986, 898.8814791239001, 897.233478593773, 893.7782485325108, 890.7140844490511, 886.9536708700318, 882.3322450611283, 881.3738277267072, 877.2335322088442, 877.1109062000398, 877.0757358139444, 869.3821380247903, 868.2224740022706, 866.910230076566, 863.7037133600786, 855.0641564946598, 849.655022810594, 846.8443149018324, 845.7316579895102, 844.4575159966838, 843.6030672440932, 843.2632690339535, 840.0997503185177, 836.8223084170195, 829.0021505742085, 827.3244911142735, 821.6739182300258, 820.8402383293418, 820.1610456380185, 816.3548771218548, 809.1914316455996, 807.1571548881436, 789.0494164386648, 789.1077687147593, 794.0705272591953, 805.9302780305383, 806.2817055403123];789.0494164386648
[928.5856557934454, 924.4069594457593, 922.8859861928761, 918.5154208773571, 917.1170134496217, 913.5805516451383, 909.2816280324951, 905.5056581302833, 902.296496739986, 898.8814791239001, 897.233478593773, 893.7782485325108, 890.7140844490511, 886.9536708700318, 882.3322450611283, 881.3738277267072, 877.2335322088442, 877.1109062000398, 877.0757358139444, 869.3821380247903, 868.2224740022706, 866.910230076566, 863.7037133600786, 855.0641564946598, 849.655022810594, 846.8443149018324, 845.7316579895102, 844.4575159966838, 843.6030672440932, 843.2632690339535, 840.0997503185177, 836.8223084170195, 829.0021505742085, 827.3244911142735, 821.6739182300258, 820.8402383293418, 820.1610456380185, 816.3548771218548, 809.1914316455996, 807.1571548881436, 806.2817055403123, 805.9302780305383, 794.0705272591953, 789.1077687147593, 789.0494164386648, 788.3407645148816, 791.7918269612394, 793.735458074008, 794.32089035032, 794.5034088249305];788.3407645148816
[913.5805516451383, 909.2816280324951, 905.5056581302833, 902.296496739986, 898.8814791239001, 897.233478593773, 893.7782485325108, 890.7140844490511, 886.9536708700318, 882.3322450611283, 881.3738277267072, 877.2335322088442, 877.1109062000398, 877.0757358139444, 869.3821380247903, 868.2224740022706, 866.910230076566, 863.7037133600786, 855.0641564946598, 849.655022810594, 846.8443149018324, 845.7316579895102, 844.4575159966838, 843.6030672440932, 843.2632690339535, 840.0997503185177, 836.8223084170195, 829.0021505742085, 827.3244911142735, 821.6739182300258, 820.8402383293418, 820.1610456380185, 816.3548771218548, 809.1914316455996, 807.1571548881436, 806.2817055403123, 805.9302780305383, 794.5034088249305, 794.32089035032, 794.0705272591953, 793.735458074008, 791.7918269612394, 789.1077687147593, 789.0494164386648, 788.3407645148816, 774.1195280289738, 774.1964496065532, 775.3323798172747, 775.711348852424, 775.7989455465063];774.1195280289738
[897.233478593773, 893.7782485325108, 890.7140844490511, 886.9536708700318, 882.3322450611283, 881.3738277267072, 877.2335322088442, 877.1109062000398, 877.0757358139444, 869.3821380247903, 868.2224740022706, 866.910230076566, 863.7037133600786, 855.0641564946598, 849.655022810594, 846.8443149018324, 845.7316579895102, 844.4575159966838, 843.6030672440932, 843.2632690339535, 840.0997503185177, 836.8223084170195, 829.0021505742085, 827.3244911142735, 821.6739182300258, 820.8402383293418, 820.1610456380185, 816.3548771218548, 809.1914316455996, 807.1571548881436, 806.2817055403123, 805.9302780305383, 794.5034088249305, 794.32089035032, 794.0705272591953, 793.735458074008, 791.7918269612394, 789.1077687147593, 789.0494164386648, 788.3407645148816, 775.7989455465063, 775.711348852424, 775.3323798172747, 774.1964496065532, 774.1195280289738, 755.846162471305, 765.9051054372618, 774.1744022432587, 775.8949779232769, 777.9771842427193];755.846162471305
[881.3738277267072, 877.2335322088442, 877.1109062000398, 877.0757358139444, 869.3821380247903, 868.2224740022706, 866.910230076566, 863.7037133600786, 855.0641564946598, 849.655022810594, 846.8443149018324, 845.7316579895102, 844.4575159966838, 843.6030672440932, 843.2632690339535, 840.0997503185177, 836.8223084170195, 829.0021505742085, 827.3244911142735, 821.6739182300258, 820.8402383293418, 820.1610456380185, 816.3548771218548, 809.1914316455996, 807.1571548881436, 806.2817055403123, 805.9302780305383, 794.5034088249305, 794.32089035032, 794.0705272591953, 793.735458074008, 791.7918269612394, 789.1077687147593, 789.0494164386648, 788.3407645148816, 777.9771842427193, 775.8949779232769, 775.7989455465063, 775.711348852424, 775.3323798172747, 774.1964496065532, 774.1744022432587, 774.1195280289738, 765.9051054372618, 755.846162471305, 730.8044288897975, 750.2726944332437, 754.1275167616641, 757.2444064441675, 759.8008156826157];730.8044288897975
