Pop;Best
[4918.724396917936, 5021.274691540813, 4810.310628354962, 5002.775168712452, 4862.793615515837, 4834.312584739326, 4887.141779972609, 4952.414418050552, 4961.612002261301, 4807.574910339206, 4959.906598837162, 5088.936817029617, 4957.343251163102, 4898.700309983921, 4865.305756545492, 4908.685297251918, 5008.372843046511, 5021.910427000388, 4927.868523155956, 4872.541481417838, 4885.758493262748, 4933.325827090887, 4857.599794222513, 4997.695975824508, 4911.38824523251, 4969.144789284886, 5083.382776839588, 4980.879626225583, 5021.443647895929, 4954.170355651455, 4843.702504835217, 4949.874987507616, 4901.463475289324, 5007.028021821107, 5039.474098745712, 5098.566842835824, 4866.379189873408, 5062.3374800270085, 4862.289198386518, 4911.636390316297, 4743.44135411465, 5096.49139266152, 4918.875629485057, 4833.748930435907, 4971.134057872792, 4928.268466287274, 4865.796310048169, 4999.84472693941, 4914.628308724792, 4858.023695045581];4743.44135411465
[5039.474098745712, 5021.910427000388, 5021.443647895929, 5021.274691540813, 5008.372843046511, 5007.028021821107, 5002.775168712452, 4999.84472693941, 4997.695975824508, 4980.879626225583, 4971.134057872792, 4969.144789284886, 4961.612002261301, 4959.906598837162, 4957.343251163102, 4954.170355651455, 4952.414418050552, 4949.874987507616, 4933.325827090887, 4928.268466287274, 4927.868523155956, 4918.875629485057, 4918.724396917936, 4914.628308724792, 4911.636390316297, 4911.38824523251, 4908.685297251918, 4901.463475289324, 4898.700309983921, 4887.141779972609, 4885.758493262748, 4872.541481417838, 4866.379189873408, 4865.796310048169, 4865.305756545492, 4862.793615515837, 4862.289198386518, 4858.023695045581, 4857.599794222513, 4843.702504835217, 4834.312584739326, 4833.748930435907, 4810.310628354962, 4807.574910339206, 4743.44135411465, 4748.974165303048, 4798.558936239296, 4804.777817166563, 4812.9131748587015, 4829.01864602394];4743.44135411465
[5007.028021821107, 5002.775168712452, 4999.84472693941, 4997.695975824508, 4980.879626225583, 4971.134057872792, 4969.144789284886, 4961.612002261301, 4959.906598837162, 4957.343251163102, 4954.170355651455, 4952.414418050552, 4949.874987507616, 4933.325827090887, 4928.268466287274, 4927.868523155956, 4918.875629485057, 4918.724396917936, 4914.628308724792, 4911.636390316297, 4911.38824523251, 4908.685297251918, 4901.463475289324, 4898.700309983921, 4887.141779972609, 4885.758493262748, 4872.541481417838, 4866.379189873408, 4865.796310048169, 4865.305756545492, 4862.793615515837, 4862.289198386518, 4858.023695045581, 4857.599794222513, 4843.702504835217, 4834.312584739326, 4833.748930435907, 4829.01864602394, 4812.9131748587015, 4810.310628354962, 4807.574910339206, 4804.777817166563, 4798.558936239296, 4748.974165303048, 4743.44135411465, 4654.493973989429, 4748.974165303048, 4748.974165303048, 4753.178235299329, 4767.644406383373];4654.493973989429
[4971.134057872792, 4969.144789284886, 4961.612002261301, 4959.906598837162, 4957.343251163102, 4954.170355651455, 4952.414418050552, 4949.874987507616, 4933.325827090887, 4928.268466287274, 4927.868523155956, 4918.875629485057, 4918.724396917936, 4914.628308724792, 4911.636390316297, 4911.38824523251, 4908.685297251918, 4901.463475289324, 4898.700309983921, 4887.141779972609, 4885.758493262748, 4872.541481417838, 4866.379189873408, 4865.796310048169, 4865.305756545492, 4862.793615515837, 4862.289198386518, 4858.023695045581, 4857.599794222513, 4843.702504835217, 4834.312584739326, 4833.748930435907, 4829.01864602394, 4812.9131748587015, 4810.310628354962, 4807.574910339206, 4804.777817166563, 4798.558936239296, 4767.644406383373, 4753.178235299329, 4748.974165303048, 4748.974165303048, 4748.974165303048, 4743.44135411465, 4654.493973989429, 4681.315970966416, 4728.926065355119, 4729.431001990931, 4738.565895952601, 4752.911060050634];4654.493973989429
[4954.170355651455, 4952.414418050552, 4949.874987507616, 4933.325827090887, 4928.268466287274, 4927.868523155956, 4918.875629485057, 4918.724396917936, 4914.628308724792, 4911.636390316297, 4911.38824523251, 4908.685297251918, 4901.463475289324, 4898.700309983921, 4887.141779972609, 4885.758493262748, 4872.541481417838, 4866.379189873408, 4865.796310048169, 4865.305756545492, 4862.793615515837, 4862.289198386518, 4858.023695045581, 4857.599794222513, 4843.702504835217, 4834.312584739326, 4833.748930435907, 4829.01864602394, 4812.9131748587015, 4810.310628354962, 4807.574910339206, 4804.777817166563, 4798.558936239296, 4767.644406383373, 4753.178235299329, 4752.911060050634, 4748.974165303048, 4748.974165303048, 4748.974165303048, 4743.44135411465, 4738.565895952601, 4729.431001990931, 4728.926065355119, 4681.315970966416, 4654.493973989429, 4664.171499858704, 4669.473473422427, 4681.315970966416, 4681.315970966416, 4685.273819977192];4654.493973989429
[4927.868523155956, 4918.875629485057, 4918.724396917936, 4914.628308724792, 4911.636390316297, 4911.38824523251, 4908.685297251918, 4901.463475289324, 4898.700309983921, 4887.141779972609, 4885.758493262748, 4872.541481417838, 4866.379189873408, 4865.796310048169, 4865.305756545492, 4862.793615515837, 4862.289198386518, 4858.023695045581, 4857.599794222513, 4843.702504835217, 4834.312584739326, 4833.748930435907, 4829.01864602394, 4812.9131748587015, 4810.310628354962, 4807.574910339206, 4804.777817166563, 4798.558936239296, 4767.644406383373, 4753.178235299329, 4752.911060050634, 4748.974165303048, 4748.974165303048, 4748.974165303048, 4743.44135411465, 4738.565895952601, 4729.431001990931, 4728.926065355119, 4685.273819977192, 4681.315970966416, 4681.315970966416, 4681.315970966416, 4669.473473422427, 4664.171499858704, 4654.493973989429, 4560.954298992951, 4573.654596005268, 4629.795131593453, 4636.994087510322, 4643.629048318722];4560.954298992951
[4911.38824523251, 4908.685297251918, 4901.463475289324, 4898.700309983921, 4887.141779972609, 4885.758493262748, 4872.541481417838, 4866.379189873408, 4865.796310048169, 4865.305756545492, 4862.793615515837, 4862.289198386518, 4858.023695045581, 4857.599794222513, 4843.702504835217, 4834.312584739326, 4833.748930435907, 4829.01864602394, 4812.9131748587015, 4810.310628354962, 4807.574910339206, 4804.777817166563, 4798.558936239296, 4767.644406383373, 4753.178235299329, 4752.911060050634, 4748.974165303048, 4748.974165303048, 4748.974165303048, 4743.44135411465, 4738.565895952601, 4729.431001990931, 4728.926065355119, 4685.273819977192, 4681.315970966416, 4681.315970966416, 4681.315970966416, 4669.473473422427, 4664.171499858704, 4654.493973989429, 4643.629048318722, 4636.994087510322, 4629.795131593453, 4573.654596005268, 4560.954298992951, 4553.3362794482, 4579.508820201834, 4594.511531323213, 4604.623550661662, 4608.938196275509];4553.3362794482
[4885.758493262748, 4872.541481417838, 4866.379189873408, 4865.796310048169, 4865.305756545492, 4862.793615515837, 4862.289198386518, 4858.023695045581, 4857.599794222513, 4843.702504835217, 4834.312584739326, 4833.748930435907, 4829.01864602394, 4812.9131748587015, 4810.310628354962, 4807.574910339206, 4804.777817166563, 4798.558936239296, 4767.644406383373, 4753.178235299329, 4752.911060050634, 4748.974165303048, 4748.974165303048, 4748.974165303048, 4743.44135411465, 4738.565895952601, 4729.431001990931, 4728.926065355119, 4685.273819977192, 4681.315970966416, 4681.315970966416, 4681.315970966416, 4669.473473422427, 4664.171499858704, 4654.493973989429, 4643.629048318722, 4636.994087510322, 4629.795131593453, 4608.938196275509, 4604.623550661662, 4594.511531323213, 4579.508820201834, 4573.654596005268, 4560.954298992951, 4553.3362794482, 4527.479595936524, 4550.455694231606, 4579.312052581203, 4581.095799532647, 4581.472313410276];4527.479595936524
[4862.793615515837, 4862.289198386518, 4858.023695045581, 4857.599794222513, 4843.702504835217, 4834.312584739326, 4833.748930435907, 4829.01864602394, 4812.9131748587015, 4810.310628354962, 4807.574910339206, 4804.777817166563, 4798.558936239296, 4767.644406383373, 4753.178235299329, 4752.911060050634, 4748.974165303048, 4748.974165303048, 4748.974165303048, 4743.44135411465, 4738.565895952601, 4729.431001990931, 4728.926065355119, 4685.273819977192, 4681.315970966416, 4681.315970966416, 4681.315970966416, 4669.473473422427, 4664.171499858704, 4654.493973989429, 4643.629048318722, 4636.994087510322, 4629.795131593453, 4608.938196275509, 4604.623550661662, 4594.511531323213, 4581.472313410276, 4581.095799532647, 4579.508820201834, 4579.312052581203, 4573.654596005268, 4560.954298992951, 4553.3362794482, 4550.455694231606, 4527.479595936524, 4438.54431707063, 4454.095701005825, 4480.500337699101, 4519.473418850757, 4526.055634622928];4438.54431707063
[4834.312584739326, 4833.748930435907, 4829.01864602394, 4812.9131748587015, 4810.310628354962, 4807.574910339206, 4804.777817166563, 4798.558936239296, 4767.644406383373, 4753.178235299329, 4752.911060050634, 4748.974165303048, 4748.974165303048, 4748.974165303048, 4743.44135411465, 4738.565895952601, 4729.431001990931, 4728.926065355119, 4685.273819977192, 4681.315970966416, 4681.315970966416, 4681.315970966416, 4669.473473422427, 4664.171499858704, 4654.493973989429, 4643.629048318722, 4636.994087510322, 4629.795131593453, 4608.938196275509, 4604.623550661662, 4594.511531323213, 4581.472313410276, 4581.095799532647, 4579.508820201834, 4579.312052581203, 4573.654596005268, 4560.954298992951, 4553.3362794482, 4550.455694231606, 4527.479595936524, 4526.055634622928, 4519.473418850757, 4480.500337699101, 4454.095701005825, 4438.54431707063, 4420.326327427256, 4466.121452130859, 4503.842627050831, 4505.26760247805, 4521.993198844686];4420.326327427256
